Symbol,Date,Open,High,Low,Close,AdjClose,Volume
ADANIPORTS,6/19/2017,365,375.700012,365,373.700012,372.473511,412303
ADANIPORTS,6/20/2017,374.200012,377.75,370.5,375.700012,374.466949,196759
ADANIPORTS,6/21/2017,375.5,376.950012,367.350006,369.549988,368.337128,239119
ADANIPORTS,6/22/2017,370.100006,374,367.299988,369.299988,368.087952,121415
ADANIPORTS,6/23/2017,372.899994,372.899994,362.100006,365.200012,364.001434,239002
ADANIPORTS,6/27/2017,368,372.799988,365.649994,367.25,366.044678,182506
ADANIPORTS,6/28/2017,367.5,369.399994,363,364.299988,363.10434,135204
ADANIPORTS,6/29/2017,368,368.899994,360.100006,364.149994,362.954865,114405
ADANIPORTS,6/30/2017,369,369,360.350006,362.450012,361.260437,123204
ADANIPORTS,07/03/2017,364.5,370.350006,360,368.049988,366.842041,162050
ADANIPORTS,07/04/2017,369.5,375.100006,368.149994,371.25,370.031555,165422
ADANIPORTS,07/05/2017,374.25,374.75,371.149994,372.200012,370.978455,76184
ADANIPORTS,07/06/2017,375,375.450012,371.200012,372.100006,370.878784,81144
ADANIPORTS,07/07/2017,373.700012,374.5,369.049988,370.850006,369.632874,144555
ADANIPORTS,07/10/2017,369.899994,376.899994,365.100006,375.450012,374.217773,317773
ADANIPORTS,07/11/2017,376.850006,376.850006,371.100006,372,370.779083,96914
ADANIPORTS,07/12/2017,372.850006,375.5,371.850006,373.649994,372.423676,62670
ADANIPORTS,7/13/2017,374.649994,377.5,372.299988,375.149994,373.918762,163150
ADANIPORTS,7/14/2017,376,378.350006,374,374.799988,373.569885,90660
ADANIPORTS,7/17/2017,374.5,383.600006,374.5,381.600006,380.347595,155511
ADANIPORTS,7/18/2017,381.5,383.950012,379,381.600006,380.347595,571585
ADANIPORTS,7/19/2017,383.5,383.5,377.450012,380.600006,379.350861,250473
ADANIPORTS,7/20/2017,383,383,377.399994,380,378.752838,482585
ADANIPORTS,7/21/2017,381,382.5,378,381.350006,380.098419,936514
ADANIPORTS,7/24/2017,382,389.299988,381.5,387.200012,385.92923,242254
ADANIPORTS,7/25/2017,390,393,385.100006,389.850006,388.570526,117860
ADANIPORTS,7/26/2017,392,394.899994,388.399994,393.100006,391.809845,101563
ADANIPORTS,7/27/2017,395,395,390.200012,392.549988,391.261627,117252
ADANIPORTS,7/28/2017,391,398.399994,388.850006,396.100006,394.799988,177858
ADANIPORTS,7/31/2017,396.950012,398,393.700012,396.350006,396.350006,111816
ADANIPORTS,08/01/2017,398.75,404.5,396.600006,402.950012,402.950012,130046
ADANIPORTS,08/02/2017,403,413.799988,403,411.350006,411.350006,147522
ADANIPORTS,08/03/2017,409,411.25,403,407.549988,407.549988,136580
ADANIPORTS,08/04/2017,406,410,402.399994,406.899994,406.899994,107917
ADANIPORTS,08/07/2017,407.5,421,407.5,413.350006,413.350006,98993
ADANIPORTS,08/08/2017,415,421.600006,410,414,414,153493
ADANIPORTS,08/09/2017,412.200012,417.25,394,396.950012,396.950012,173947
ADANIPORTS,08/10/2017,396,396,381.299988,386.399994,386.399994,107199
ADANIPORTS,08/11/2017,381.049988,386.149994,361,383.899994,383.899994,770769
ADANIPORTS,8/14/2017,385.799988,405.200012,385.799988,395.700012,395.700012,155053
ADANIPORTS,8/16/2017,399,405,392.450012,397.450012,397.450012,293553
ADANIPORTS,8/17/2017,399.799988,401.049988,388.700012,390.25,390.25,114244
ADANIPORTS,8/18/2017,385,390.600006,383.75,386.649994,386.649994,105703
ADANIPORTS,8/21/2017,395,400.100006,374.549988,376.049988,376.049988,84948
ADANIPORTS,8/22/2017,375.549988,381.549988,369.799988,374.5,374.5,380738
ADANIPORTS,8/23/2017,376,386,376,385.049988,385.049988,157537
ADANIPORTS,8/24/2017,387,387.149994,378.799988,379.950012,379.950012,103204
ADANIPORTS,8/28/2017,381.5,389.399994,381,387,387,179268
ADANIPORTS,8/29/2017,387,387.5,378.25,382.25,382.25,111980
ADANIPORTS,8/30/2017,384.100006,392.299988,384.100006,389.649994,389.649994,181001
ADANIPORTS,8/31/2017,391.899994,394.450012,389,392.450012,392.450012,169762
ADANIPORTS,09/01/2017,395,396.350006,392.25,394.549988,394.549988,93891
ADANIPORTS,09/04/2017,395,395,380,384.299988,384.299988,242665
ADANIPORTS,09/05/2017,385,392.600006,382.350006,390.450012,390.450012,716545
